game_id,team_id,fastBreakPoints,pointsInPaint,biggestLead,secondChancePoints,pointsOffTurnovers,longestRun,points,fgm,fga,fgp,ftm,fta,ftp,tpm,tpa,tpp,offReb,defReb,totReb,assists,pFouls,steals,turnovers,blocks,plusMinus,min
8787,4,15,34,2,6,2,12,104,37,84,44.0,13,23,56.5,17,32,53.1,5,39,44,19,17,3,12,9,-23,240:00
8787,21,21,42,23,16,22,11,127,48,105,45.7,14,18,77.8,17,45,37.8,13,41,54,25,19,8,7,9,23,240:00
8788,11,10,46,12,10,20,10,121,41,93,44.1,25,30,83.3,14,39,35.9,9,41,50,30,18,9,17,2,7,240:00
8788,17,20,34,10,6,19,10,114,45,95,47.4,9,19,47.4,15,42,35.7,5,40,45,21,25,7,17,4,-7,240:00
8789,15,5,44,23,21,8,19,122,42,90,46.7,21,24,87.5,17,47,36.2,8,43,51,29,24,2,16,10,-1,240:00
8789,5,15,54,10,24,22,24,123,46,107,43.0,18,27,66.7,13,31,41.9,12,34,46,29,21,9,8,5,1,240:00
8790,6,15,46,8,14,22,9,94,37,86,43.0,13,15,86.7,7,23,30.4,9,39,48,18,19,8,17,5,6,240:00
8790,10,6,50,9,8,15,8,88,36,90,40.0,10,13,76.9,6,28,21.4,11,36,47,17,16,7,16,5,-6,240:00
8791,2,19,42,12,9,17,14,134,48,117,41.0,17,23,73.9,21,57,36.8,15,41,56,34,24,13,18,9,-4,290:00
8791,24,14,60,11,14,17,14,138,51,105,48.6,19,27,70.4,17,45,37.8,7,48,55,27,22,9,17,10,4,290:00
8792,41,8,56,29,11,18,8,98,36,81,44.4,21,26,80.8,5,27,18.5,7,44,51,20,17,14,21,8,15,240:00
8792,38,18,40,5,11,17,10,83,30,97,30.9,16,22,72.7,7,34,20.6,19,35,54,14,21,10,19,4,-15,240:00
8793,7,23,54,4,7,12,12,121,47,93,50.5,13,18,72.2,14,38,36.8,7,29,36,38,17,6,10,5,-11,240:00
8793,19,22,70,16,13,21,14,132,53,100,53.0,12,12,100,14,33,42.4,13,40,53,28,15,8,10,8,11,240:00
8846,22,10,44,20,24,8,11,113,43,91,47.3,14,17,82.4,13,45,28.9,10,39,49,29,20,5,17,4,5,240:00
8846,21,18,38,0,13,16,11,108,39,95,41.1,16,21,76.2,14,51,27.5,13,30,43,22,18,10,8,3,-5,240:00
8847,17,7,54,26,13,14,11,115,46,92,50.0,12,14,85.7,11,35,31.4,10,30,40,29,22,8,17,2,-8,240:00
8847,25,4,54,8,7,27,9,123,43,86,50.0,22,29,75.9,15,37,40.5,10,32,42,21,16,8,15,3,8,240:00
8848,30,14,42,13,12,12,12,110,42,95,44.2,11,15,73.3,15,38,39.5,8,32,40,28,20,7,11,6,3,240:00
8848,28,17,60,12,16,8,10,107,42,93,45.2,17,24,70.8,6,22,27.3,14,42,56,23,16,6,11,6,-3,240:00
8849,19,7,30,8,16,15,10,96,35,96,36.5,9,19,47.4,17,50,34.0,21,29,50,27,25,9,21,3,-20,240:00
8849,29,13,44,26,20,30,13,116,39,84,46.4,23,31,74.2,15,36,41.7,13,35,48,22,20,11,13,6,20,240:00
8850,7,16,48,16,19,19,8,92,33,81,40.7,23,27,85.2,3,20,15.0,14,43,57,12,14,9,20,3,13,240:00
8850,16,10,34,0,3,15,8,79,31,87,35.6,8,13,61.5,9,41,22.0,9,27,36,19,24,13,14,2,-13,240:00
